row_id	family	branch	legacy_l	state_index	form_selector	dispatch	field	typed	forced_legacy	metadata_exact	value_exact
3	1	2	2	4	21	T	z	3.7086505471961573E-005	3.7086505471961573E-005	yes	yes
3	1	2	2	4	21	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
3	1	2	2	4	21	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
3	1	2	2	4	21	T	zr	-7.2203710937500000E+004	-7.2203710937500000E+004	yes	yes
3	1	2	2	4	21	T	zb	7.4916332960128784E-003	7.4916332960128784E-003	yes	yes
3	1	2	2	4	21	T	born	-3.0170518159866333E-001	-3.0170518159866333E-001	yes	yes
3	1	2	2	4	21	T	ter	8.4334089933690848E-008	8.4334089933690848E-008	yes	yes
3	1	2	2	4	21	T	tei	7.1122417376616627E-015	7.1122417376616627E-015	yes	yes
3	1	2	2	4	21	T	der	-3.0030277371406555E-001	-3.0030277371406555E-001	yes	yes
3	1	2	2	4	21	T	dei	-2.5325761043859529E-008	-2.5325761043859529E-008	yes	yes
8	2	2	2	4	21	T	z	3.7086505471961573E-005	3.7086505471961573E-005	yes	yes
8	2	2	2	4	21	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
8	2	2	2	4	21	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
8	2	2	2	4	21	T	zr	8.7173087500000000E+005	8.7173087500000000E+005	yes	yes
8	2	2	2	4	21	T	zb	-2.8047889471054077E-002	-2.8047889471054077E-002	yes	yes
8	2	2	2	4	21	T	born	8.7687301635742188E-001	8.7687301635742188E-001	yes	yes
8	2	2	2	4	21	T	ter	8.4334089933690848E-008	8.4334089933690848E-008	yes	yes
8	2	2	2	4	21	T	tei	7.1122417376616627E-015	7.1122417376616627E-015	yes	yes
8	2	2	2	4	21	T	der	9.2234170436859131E-001	9.2234170436859131E-001	yes	yes
8	2	2	2	4	21	T	dei	7.7784854113360780E-008	7.7784854113360780E-008	yes	yes
